Id,Overall Qual,Year Built,Full Bath,Half Bath,Garage Area,Total Bsmt SF,Gr Liv Area,1st Flr SF,2nd Flr SF,SalePrice,FbathxHbath
2511,6,2000,2,1,440.0,756.0,1524,768,756,166000,2
912,4,1928,2,0,576.0,1122.0,1981,1328,653,135000,0
2351,7,1978,3,1,564.0,1392.0,2784,1392,1392,250000,3
330,4,1970,1,1,0.0,546.0,1092,546,546,76000,1
2586,6,1951,1,1,400.0,216.0,1575,1575,0,155000,1
224,6,1969,1,1,299.0,663.0,1352,663,689,158000,1
98,7,2004,2,1,480.0,600.0,1200,600,600,149500,2
2565,5,1954,1,0,240.0,936.0,936,936,0,121000,0
1934,6,1953,1,0,293.0,1040.0,1040,1040,0,136000,0
997,6,1996,2,1,386.0,916.0,1636,916,720,173000,2
64,8,1999,2,1,671.0,1152.0,2270,1164,1106,290000,2
1799,8,2007,2,1,550.0,1184.0,2610,1184,1426,303477,2
230,7,1977,1,1,690.0,1420.0,1483,1483,0,270000,1
1295,5,1920,1,0,225.0,936.0,1740,960,780,122250,0
638,5,1955,1,0,350.0,1382.0,1382,1382,0,153000,0
2278,5,2007,1,0,0.0,1120.0,1120,1120,0,147000,0
2202,7,1930,1,0,216.0,531.0,1098,567,531,148500,0
2833,7,2004,2,0,380.0,976.0,1708,976,732,130000,0
1707,9,2006,2,1,843.0,1802.0,1802,1802,0,372000,2
2428,7,2005,2,0,440.0,1362.0,1506,1506,0,213490,0
242,7,2009,1,0,572.0,1508.0,1508,1508,0,308030,0
1564,7,1996,3,0,786.0,1840.0,2032,2032,0,300000,0
2613,6,1959,1,0,539.0,655.0,1194,1194,0,159500,0
2832,7,2004,2,0,380.0,970.0,1709,970,739,137500,0
2459,7,2005,2,0,834.0,1616.0,1616,1616,0,232000,0
1360,6,1930,1,0,440.0,768.0,768,768,0,93850,0
2723,5,1924,1,0,322.0,872.0,872,872,0,105000,0
1350,4,1927,1,0,240.0,520.0,520,520,0,68500,0
136,5,1960,2,0,480.0,1105.0,2274,1105,1169,154300,0
2235,5,1925,2,0,0.0,936.0,1601,936,665,129850,0
1993,5,1910,1,0,480.0,616.0,1232,616,616,114000,0
367,9,2008,2,0,1166.0,2216.0,2234,2234,0,501837,0
1309,5,1915,1,1,720.0,876.0,1416,876,540,153900,1
402,4,1971,1,0,576.0,864.0,864,864,0,130000,0
1592,6,1997,2,0,392.0,1189.0,1189,1189,0,160500,0
2409,9,2006,2,0,575.0,1666.0,1666,1666,0,310090,0
539,7,2003,2,0,555.0,1176.0,1200,1200,0,184900,0
1940,5,1956,1,0,252.0,928.0,928,928,0,132000,0
588,5,1969,2,0,502.0,1288.0,1336,1336,0,163000,0
96,7,2004,2,1,480.0,600.0,1200,600,600,155000,2
1187,6,1969,2,0,516.0,1427.0,1427,1427,0,183000,0
2154,7,1996,2,1,608.0,860.0,1992,1212,780,211000,2
550,7,1994,2,1,495.0,754.0,1540,754,786,184000,2
811,5,1979,2,0,400.0,0.0,1535,1535,0,118858,0
124,5,1964,1,0,484.0,1152.0,1152,1152,0,180500,0
1836,8,2006,2,0,484.0,1141.0,1151,1151,0,166000,0
779,6,1960,1,0,480.0,1138.0,1138,1138,0,148000,0
1886,5,1956,1,0,396.0,894.0,1074,1074,0,124000,0
1724,9,2005,2,0,556.0,1561.0,1561,1561,0,277500,0
2450,8,1995,2,1,725.0,1342.0,2726,1358,1368,350000,2
1013,9,2004,2,0,670.0,1884.0,1884,1884,0,387000,0
2084,4,1920,1,0,0.0,528.0,605,605,0,86000,0
1184,8,1976,3,0,550.0,1426.0,1671,1671,0,290000,0
728,3,1900,1,0,0.0,245.0,797,797,0,44000,0
950,6,2001,2,1,560.0,804.0,1961,804,1157,215000,2
2524,5,1972,2,0,501.0,1153.0,1193,1193,0,146500,0
2513,7,2000,2,1,490.0,673.0,1382,673,709,165000,2
2028,6,1916,2,0,216.0,714.0,2526,1664,862,136000,0
2309,6,1957,1,1,550.0,1705.0,1390,1390,0,252000,1
51,7,2003,2,1,474.0,764.0,1626,764,862,175500,2
699,5,1939,1,1,400.0,690.0,1558,868,690,150000,1
1881,5,1960,1,0,286.0,978.0,1422,1422,0,139900,0
1345,5,1930,2,0,360.0,1078.0,1573,1128,445,162900,0
166,6,1962,1,1,440.0,1116.0,1116,1116,0,160000,1
781,2,1947,1,0,0.0,0.0,660,660,0,63900,0
379,6,1978,2,0,479.0,1140.0,1707,1707,0,184000,0
2818,5,1959,1,1,528.0,1466.0,1466,1466,0,149900,1
1168,9,2000,2,0,495.0,1614.0,1638,1638,0,300000,0
1396,5,1960,2,0,626.0,988.0,1721,1721,0,145000,0
838,6,1997,2,1,470.0,928.0,1764,928,836,231500,2
1492,5,1940,1,0,0.0,996.0,996,996,0,108000,0
637,5,1956,1,0,304.0,1202.0,1202,1202,0,120000,0
1826,5,1961,1,0,572.0,988.0,988,988,0,128500,0
173,5,1927,1,0,360.0,1008.0,1028,1028,0,115000,0
715,5,1947,1,1,240.0,720.0,1284,720,564,110000,1
1183,9,1977,2,2,864.0,994.0,2944,1599,1345,150000,4
2433,8,2004,2,1,403.0,707.0,1414,707,707,178000,2
2866,7,1932,1,1,579.0,637.0,1609,959,650,199500,1
2311,6,1997,2,1,400.0,813.0,1525,813,712,183500,2
1551,5,1967,1,1,288.0,624.0,1656,1092,564,126000,1
1049,7,1977,2,0,440.0,1055.0,1055,1055,0,148500,0
657,5,1939,2,0,720.0,676.0,1352,676,676,149000,0
414,6,1977,2,1,440.0,855.0,1456,855,601,137900,2
1181,8,1993,1,1,473.0,1719.0,1719,1719,0,324000,1
1514,5,1925,1,0,0.0,864.0,864,864,0,98000,0
1040,6,1973,1,1,264.0,483.0,987,483,504,103400,1
216,5,1875,1,0,0.0,780.0,1020,780,240,94000,0
1720,8,2006,2,0,627.0,1554.0,1554,1554,0,209500,0
2331,10,2006,3,1,758.0,1528.0,3390,1528,1862,545224,3
204,6,1912,1,1,0.0,780.0,1560,780,780,159900,1
19,4,1951,1,0,400.0,864.0,864,864,0,141000,0
2438,6,2000,2,1,431.0,982.0,1889,1008,881,215000,2
89,5,1962,1,1,260.0,1040.0,1040,1040,0,127000,1
240,5,1954,1,0,366.0,1172.0,1172,1172,0,128000,0
105,8,2010,1,1,852.0,1642.0,1418,1418,0,267916,1
2020,6,1931,1,0,560.0,884.0,1367,959,408,127500,0
888,7,2003,3,0,672.0,0.0,1922,495,1427,198500,0
1019,6,1981,2,0,576.0,1422.0,1422,1422,0,175500,0
2132,7,2000,2,1,486.0,985.0,1842,985,857,217500,2
203,4,1915,1,1,572.0,888.0,1962,888,1074,149500,1
420,5,1966,1,0,656.0,864.0,1120,1120,0,148800,0
2333,9,2005,3,1,716.0,1992.0,2868,1992,876,556581,3
632,6,1957,1,1,442.0,1478.0,1478,1478,0,156500,1
2800,7,1995,2,1,610.0,930.0,1995,950,1045,237000,2
1885,5,1958,1,0,297.0,912.0,912,912,0,120000,0
1734,6,2005,2,0,388.0,1326.0,1326,1326,0,203000,0
2327,8,1987,2,0,461.0,1191.0,1204,1204,0,130000,0
1282,6,1964,1,1,442.0,780.0,1611,798,813,167900,1
2688,4,1970,1,0,576.0,960.0,960,960,0,129000,0
2581,5,1957,1,0,447.0,1070.0,1236,1236,0,134450,0
2067,5,1918,2,0,576.0,816.0,1416,1416,0,112000,0
2115,7,1988,2,1,619.0,929.0,1873,946,927,207000,2
754,5,1922,2,0,0.0,1040.0,2128,1088,1040,62500,0
1079,7,2003,2,1,474.0,764.0,1626,764,862,154000,2
2615,5,1957,1,0,308.0,816.0,816,816,0,129900,0
329,5,1976,1,1,336.0,536.0,1112,536,576,85000,1
1320,7,1926,1,0,288.0,572.0,1111,572,539,116900,0
416,6,1978,2,1,440.0,855.0,1441,855,586,148500,2
284,4,1941,1,0,280.0,672.0,924,672,252,80000,0
1385,5,1984,1,0,506.0,1060.0,1126,1126,0,152000,0
275,5,1954,1,0,319.0,381.0,992,992,0,155891,0
2024,6,1920,1,0,576.0,768.0,1376,752,624,165000,0
68,7,2009,2,0,676.0,1218.0,1218,1218,0,204500,0
1910,5,1942,1,1,312.0,728.0,1644,888,756,146500,1
381,7,1978,2,0,478.0,1271.0,1601,1601,0,157000,0
1323,7,1890,2,0,342.0,1313.0,2495,1313,1182,184000,0
2432,6,2002,2,1,393.0,783.0,1509,807,702,183200,2
777,5,1962,1,0,288.0,1092.0,1092,1092,0,139000,0
1107,7,1993,2,1,983.0,1311.0,2418,1325,1093,341000,2
30,6,1971,1,1,264.0,483.0,987,483,504,96000,1
282,4,2003,2,0,440.0,1121.0,1121,1121,0,140000,0
188,6,1957,1,0,923.0,912.0,1236,1236,0,149700,0
2356,5,1975,1,1,495.0,1056.0,1074,1074,0,153500,1
1554,1,1952,1,0,487.0,0.0,733,733,0,13100,0
1464,7,2003,2,1,543.0,884.0,1768,884,884,224900,2
2469,7,2005,2,0,453.0,1257.0,1266,1266,0,176000,0
1834,8,1992,2,1,541.0,1683.0,2872,2129,743,285000,2
1779,8,2007,2,0,754.0,1485.0,1464,1464,0,282922,0
2569,7,1966,2,1,487.0,924.0,2157,1216,941,226000,2
2334,8,2006,2,1,666.0,1234.0,2576,1264,1312,361919,2
2330,9,2005,3,1,670.0,1398.0,2798,1414,1384,457347,3
2119,8,1976,0,1,529.0,966.0,1743,1743,0,279000,0
988,6,1977,2,0,714.0,1567.0,1567,1567,0,196000,0
382,7,1976,2,0,479.0,1090.0,1370,1370,0,152000,0
670,5,1969,2,2,968.0,1248.0,2634,1338,1296,200000,4
2760,8,2005,2,1,754.0,1570.0,1590,1590,0,294900,2
543,7,2008,2,0,788.0,1450.0,1450,1450,0,224243,0
2835,6,1915,2,0,528.0,832.0,1338,846,492,92000,0
1735,7,2007,2,1,400.0,728.0,1456,728,728,179540,2
448,10,2003,2,0,968.0,2392.0,2392,2392,0,386250,0
2287,4,1970,1,0,297.0,530.0,992,530,462,106500,0
524,10,2008,2,1,812.0,1017.0,2007,1026,981,310000,2
1767,7,1998,2,1,600.0,1066.0,2385,1108,1277,252000,2
2206,7,1941,2,0,240.0,918.0,1646,918,728,164000,0
1740,7,2007,2,1,400.0,728.0,1456,728,728,177594,2
199,5,1936,1,0,624.0,528.0,1040,548,492,123900,0
2214,6,1918,2,1,864.0,1370.0,2624,1370,1254,239000,2
323,5,1965,1,0,528.0,1068.0,1264,1264,0,169000,0
2421,7,2003,2,0,420.0,1374.0,1557,1557,0,234000,0
952,6,1977,1,1,541.0,957.0,1287,1287,0,173000,1
24,6,1970,1,0,480.0,1004.0,1004,1004,0,149000,0
1139,7,2007,2,0,483.0,1162.0,1162,1162,0,170000,0
518,7,2008,2,0,529.0,1436.0,1436,1436,0,225000,0
1390,5,1963,1,0,300.0,960.0,960,960,0,144900,0
277,5,1968,1,0,336.0,1196.0,1196,1196,0,144000,0
54,8,2004,2,0,430.0,1256.0,1269,1269,0,192000,0
649,5,1952,1,0,230.0,1031.0,1031,1031,0,145500,0
2600,4,1900,1,0,280.0,448.0,720,448,272,86900,0
617,6,1953,1,0,505.0,1505.0,1505,1505,0,149500,0
2209,5,1938,1,0,240.0,920.0,954,954,0,119750,0
2814,6,2005,2,1,564.0,750.0,1500,750,750,173900,2
2542,5,1961,1,0,368.0,1050.0,1050,1050,0,136500,0
2323,8,1994,2,1,618.0,2062.0,2687,2079,608,270000,2
1393,6,1960,1,0,564.0,1602.0,1252,1252,0,235000,0
490,7,1999,2,1,400.0,384.0,1430,774,656,156000,2
542,5,2003,2,0,576.0,1114.0,1114,1114,0,153000,0
973,6,1999,2,0,402.0,1224.0,1224,1224,0,165000,0
1012,9,2005,2,1,656.0,1122.0,2504,1134,1370,325000,2
2218,5,1941,2,0,528.0,728.0,1355,760,595,140000,0
2033,6,1963,3,0,658.0,741.0,2294,1497,797,202500,0
1071,9,2008,1,1,1052.0,1702.0,1702,1702,0,367294,1
1583,6,1988,2,0,600.0,1461.0,1509,1509,0,175000,0
2858,7,1915,1,0,642.0,756.0,1717,961,756,140000,0
2265,7,1985,2,0,528.0,1265.0,1240,1240,0,174000,0
1088,7,2005,2,0,400.0,856.0,1166,1166,0,190000,0
698,5,1910,2,0,0.0,504.0,1464,764,700,129000,0
1896,6,1959,1,1,510.0,1592.0,1652,1652,0,200000,1
628,6,1968,2,1,509.0,896.0,2142,1182,960,193500,2
1212,6,1964,1,0,504.0,1092.0,1092,1092,0,145000,0
2864,7,1929,2,0,451.0,1022.0,1671,1122,549,218000,0
2740,5,1952,1,0,569.0,0.0,1488,1488,0,135000,0
2560,5,1952,1,0,240.0,1444.0,1624,1624,0,146500,0
1716,6,2005,2,0,460.0,1362.0,1362,1362,0,194700,0
1130,7,2007,2,0,462.0,1218.0,1218,1218,0,230348,0
201,6,1923,1,0,288.0,1124.0,1068,1068,0,109500,0
2886,6,1979,2,0,576.0,1625.0,1625,1625,0,242500,0
2328,7,1987,2,0,504.0,1064.0,1767,1064,703,239000,0
2583,6,1954,1,0,286.0,1050.0,1050,1050,0,156000,0
1206,4,1957,1,0,352.0,907.0,907,907,0,109008,0
2242,2,1939,1,0,256.0,0.0,845,640,0,68104,0
1105,8,1995,2,1,751.0,1242.0,2501,1251,1250,290000,2
121,5,1966,1,0,504.0,1209.0,1209,1209,0,159000,0
1223,4,1937,1,0,231.0,348.0,906,453,453,87000,0
265,8,2001,2,0,670.0,1581.0,1601,1601,0,272000,0
2813,7,2005,2,0,502.0,1336.0,1336,1336,0,198000,0
1294,4,1940,2,0,440.0,801.0,1656,1095,561,119164,0
2745,5,1954,1,0,0.0,0.0,1124,1124,0,93000,0
1094,7,2000,2,1,431.0,982.0,1892,1008,884,226750,2
651,3,1900,2,0,420.0,978.0,1699,1014,685,95000,0
198,6,1948,1,1,312.0,780.0,1416,780,636,139900,1
131,3,1940,1,0,0.0,728.0,1306,1306,0,76500,0
1258,4,1940,1,0,308.0,672.0,672,672,0,86900,0
1599,5,1968,1,0,257.0,1113.0,1160,1160,0,152500,0
1508,4,1953,1,0,286.0,911.0,930,930,0,99000,0
615,4,1940,1,0,0.0,420.0,708,708,0,82500,0
1815,6,1992,2,0,529.0,1575.0,1575,1575,0,179200,0
2712,5,1966,1,0,286.0,1059.0,1059,1059,0,142500,0
2051,4,1964,1,0,440.0,1005.0,1005,1005,0,115400,0
1863,7,2001,2,1,650.0,1057.0,1929,1057,872,226000,2
2510,7,2005,2,1,480.0,600.0,1200,520,600,144152,2
1069,8,2003,2,1,795.0,1765.0,2690,1804,886,370000,2
336,5,1984,1,0,495.0,833.0,833,833,0,149900,0
2417,6,2006,2,1,429.0,728.0,1456,728,728,172785,2
1962,5,1950,1,0,720.0,864.0,864,864,0,129000,0
372,6,1979,2,0,435.0,1362.0,1586,1586,0,181000,0
2578,5,1956,1,0,300.0,1058.0,1370,1370,0,148000,0
2824,6,2002,1,0,0.0,914.0,914,914,0,117250,0
471,7,2005,2,0,430.0,1373.0,1555,1555,0,192500,0
1544,6,1980,2,1,452.0,716.0,1556,716,840,151000,2
2141,5,1972,1,0,461.0,882.0,882,882,0,112500,0
2008,5,1920,1,0,495.0,915.0,1167,1167,0,144000,0
1075,9,2007,2,0,944.0,1800.0,1800,1800,0,370967,0
34,6,1975,2,1,440.0,855.0,1456,855,601,149900,2
847,7,2002,2,1,493.0,831.0,1660,831,829,195000,2
1629,7,1992,2,1,392.0,384.0,1482,812,670,163900,2
2073,6,1984,2,0,552.0,1190.0,1522,1522,0,182000,0
960,9,2008,2,0,780.0,2190.0,2036,2036,0,410000,0
955,5,1991,2,0,672.0,1582.0,1595,1595,0,152000,0
2476,7,2005,2,1,462.0,891.0,1686,891,795,184000,2
1590,7,1997,2,0,784.0,1344.0,1344,1344,0,206300,0
2913,5,1970,2,0,928.0,1652.0,1652,1652,0,146500,0
149,4,1956,1,0,263.0,832.0,1337,832,505,108000,0
2525,7,1968,3,0,487.0,570.0,1920,1222,698,170000,0
1470,6,2004,1,0,420.0,848.0,848,848,0,145000,0
412,7,1975,2,0,440.0,1057.0,1055,1055,0,123000,0
1399,6,1996,1,0,431.0,1291.0,1291,1291,0,173000,0
183,6,1928,1,0,484.0,624.0,720,720,0,105900,0
974,4,1973,1,0,297.0,462.0,988,526,462,91000,0
930,5,1949,2,0,295.0,1067.0,1523,986,537,158000,0
881,7,2004,2,1,572.0,864.0,1728,864,864,190000,2
1180,8,1995,1,1,477.0,1230.0,1239,1239,0,217500,1
1553,5,1958,2,0,356.0,1151.0,1955,1151,804,165500,0
928,7,1941,1,1,234.0,704.0,1564,860,704,174500,1
1512,4,1954,1,0,312.0,416.0,1204,1204,0,100000,0
3,6,1958,1,1,312.0,1329.0,1329,1329,0,172000,1
2140,5,1975,1,0,440.0,864.0,879,879,0,120000,0
553,4,1950,1,0,294.0,721.0,841,841,0,82000,0
2594,6,1947,1,1,649.0,784.0,1312,900,412,127000,1
1314,6,1917,1,1,396.0,735.0,2058,1134,924,129500,1
366,8,1984,1,0,565.0,1220.0,1360,1360,0,187500,0
1462,8,2002,2,0,715.0,1778.0,1786,1786,0,300000,0
2541,6,1971,2,1,495.0,825.0,1993,1097,896,190000,2
2088,4,1920,2,0,280.0,951.0,1362,986,376,96000,0
527,7,2006,2,0,438.0,1092.0,1550,1112,438,241000,0
1824,5,1962,1,1,349.0,1140.0,1696,1696,0,143900,1
2918,4,1970,1,1,286.0,546.0,1092,546,546,87550,1
49,9,2005,2,0,576.0,1752.0,1752,1752,0,319900,0
2332,9,2006,2,1,675.0,1094.0,2473,1102,1371,356383,2
826,9,2007,2,0,702.0,1800.0,1800,1800,0,239000,0
1108,7,1993,2,1,783.0,1080.0,2197,1108,1089,287500,2
2041,5,1941,1,1,660.0,720.0,1382,854,0,128500,1
57,7,2004,2,1,433.0,847.0,1733,847,886,185088,2
520,7,2008,2,0,625.0,1402.0,1402,1402,0,229800,0
2305,5,1984,1,0,288.0,864.0,887,887,0,124500,0
2533,5,1968,1,0,504.0,1051.0,1051,1051,0,142000,0
2852,6,1920,1,0,216.0,755.0,1510,755,755,149000,0
1198,5,1973,2,0,506.0,1656.0,1656,1656,0,135000,0
1681,6,1976,2,0,440.0,1078.0,958,958,0,128000,0
1773,8,1992,3,0,546.0,3200.0,3228,3228,0,430000,0
1825,5,1968,1,1,686.0,1040.0,1040,1040,0,145000,1
2208,5,1910,2,0,552.0,661.0,1250,661,589,139000,0
1646,6,1984,3,1,477.0,585.0,1868,1140,728,178000,3
1060,10,2005,2,1,1150.0,1620.0,2790,1632,1158,460000,2
748,6,1916,2,0,441.0,844.0,2134,1445,689,214500,0
2846,5,1916,2,0,0.0,686.0,1928,948,980,160000,0
493,7,1999,2,1,390.0,992.0,2060,1022,1038,214000,2
694,6,1935,1,0,162.0,901.0,1378,861,517,128900,0
2283,4,1961,1,0,1356.0,1249.0,1622,1622,0,168000,0
1800,8,2007,2,1,880.0,955.0,1880,955,925,310013,2
1632,8,1986,1,1,461.0,1074.0,1088,1088,0,170000,1
2624,5,1959,1,0,286.0,1040.0,1040,1040,0,133700,0
2197,6,1923,1,1,180.0,602.0,1502,900,602,165000,1
1045,6,1971,1,1,264.0,483.0,987,483,504,89500,1
2549,6,1958,1,0,264.0,588.0,1095,1095,0,140000,0
2829,7,2004,2,0,380.0,970.0,1709,970,739,134000,0
2480,6,1992,2,1,462.0,836.0,1731,844,887,248500,2
2724,4,1965,0,0,364.0,648.0,960,960,0,145000,0
2352,6,1975,2,1,434.0,713.0,1552,811,741,179900,2
1783,8,2006,2,0,895.0,1795.0,1795,1795,0,147000,0
338,5,1991,1,1,576.0,624.0,1274,624,650,136000,1
196,6,1940,1,1,576.0,572.0,1196,848,348,128000,1
762,4,1946,1,0,220.0,560.0,704,704,0,88750,0
151,5,1955,1,0,305.0,972.0,972,972,0,122500,0
158,6,1948,1,0,330.0,912.0,1458,912,546,97500,0
2572,6,1963,1,0,430.0,1008.0,1008,1008,0,135000,0
1686,9,2007,2,0,774.0,1822.0,1828,1828,0,314813,0
943,3,1915,1,0,0.0,1013.0,1526,1013,0,85000,0
735,6,1937,1,0,624.0,698.0,1176,786,390,134900,0
2741,5,1955,1,0,288.0,1057.0,1057,1057,0,137000,0
1106,8,1995,2,1,839.0,2109.0,2113,2113,0,350000,2
2375,5,1967,1,0,300.0,943.0,1387,1387,0,145000,0
1701,9,2005,2,1,814.0,1704.0,2758,1722,1036,418000,2
2657,3,1920,1,0,250.0,798.0,840,840,0,64000,0
907,5,1932,1,0,281.0,793.0,1520,848,672,159434,0
1777,8,2007,2,0,852.0,1542.0,1542,1542,0,260261,0
164,5,1952,2,0,720.0,910.0,1385,910,475,166000,0
1973,5,1962,1,0,288.0,896.0,936,936,0,130000,0
2857,5,1941,1,0,240.0,824.0,1288,824,464,112000,0
1208,5,1963,2,0,525.0,1120.0,1128,1128,0,155000,0
319,8,2009,2,1,680.0,774.0,1968,774,1194,269500,2
2567,6,1964,1,0,441.0,1246.0,1246,1246,0,172000,0
2222,7,1940,1,1,240.0,800.0,1740,960,780,219500,1
2493,5,1963,1,0,484.0,925.0,925,925,0,133500,0
1757,7,2000,2,1,400.0,384.0,1430,774,656,170000,2
184,8,1900,2,0,288.0,930.0,1566,930,636,150000,0
1248,5,1953,1,0,400.0,984.0,950,950,0,130000,0
2574,5,1959,1,0,796.0,1144.0,1144,1144,0,143000,0
1215,5,1961,1,0,451.0,1114.0,1114,1114,0,140000,0
1614,7,1973,2,0,516.0,2223.0,2223,2223,0,244000,0
2039,5,1920,1,0,288.0,530.0,1111,581,530,101000,0
2669,5,1958,1,0,624.0,960.0,960,960,0,125000,0
1005,6,1998,2,1,460.0,932.0,1633,932,701,183000,2
753,6,1912,1,0,0.0,755.0,2229,929,929,104000,0
1275,6,1954,1,0,280.0,936.0,984,984,0,112500,0
2350,6,1980,2,0,612.0,1686.0,1686,1686,0,207500,0
2762,7,2005,2,0,576.0,1614.0,1614,1614,0,225000,0
2788,5,1972,1,0,297.0,864.0,864,864,0,119900,0
2384,7,2006,2,0,874.0,1721.0,1740,1740,0,293000,0
2716,5,1968,2,1,440.0,1461.0,1721,1721,0,180000,2
313,6,1976,1,0,888.0,1012.0,1034,1034,0,169900,0
84,6,1978,2,0,539.0,0.0,1902,1318,584,112000,0
81,6,1984,2,0,480.0,1040.0,1097,1097,0,152000,0
2389,9,2005,2,1,670.0,1090.0,2206,1117,1089,300000,2
280,6,1976,1,0,672.0,1029.0,1117,1117,0,107000,0
190,4,1885,2,0,560.0,777.0,2290,1246,1044,122500,0
2371,6,1972,1,1,264.0,483.0,948,483,465,89000,1
213,6,1940,1,0,231.0,600.0,919,600,319,95000,0
1864,6,1968,1,1,412.0,912.0,1152,1152,0,143450,1
37,9,2009,2,1,751.0,1590.0,2334,1627,707,376162,2
146,5,1960,1,0,461.0,1268.0,1264,1264,0,167500,0
809,5,1979,0,2,528.0,1086.0,1224,1224,0,153337,0
767,6,1925,2,0,300.0,672.0,1369,697,672,103600,0
262,5,1976,1,0,308.0,894.0,894,894,0,128200,0
101,6,2000,2,1,440.0,756.0,1573,769,804,177500,2
48,8,2002,2,1,756.0,1671.0,2250,1687,563,320000,2
489,6,2000,2,1,394.0,794.0,1514,819,695,190000,2
2369,6,1971,1,1,0.0,672.0,1218,672,546,91500,1
707,5,1954,2,0,256.0,811.0,1387,811,576,93000,0
1556,4,1920,1,0,250.0,649.0,1317,649,668,40000,0
2034,6,1914,1,1,0.0,684.0,1355,773,582,127000,1
308,4,1896,1,0,330.0,756.0,952,952,0,50138,0
2176,6,1976,1,1,504.0,1143.0,1113,1113,0,148000,1
1549,5,1940,1,0,924.0,740.0,778,778,0,120500,0
909,6,1940,2,0,240.0,778.0,1489,944,545,139500,0
892,9,2007,2,0,768.0,1698.0,1698,1698,0,320000,0
2045,7,1937,1,1,498.0,1005.0,2267,1262,1005,219000,1
2927,5,1983,1,0,484.0,864.0,902,902,0,131000,0
1732,6,2006,2,1,440.0,738.0,1495,738,757,171925,2
998,5,1996,2,0,404.0,1348.0,1384,1384,0,177900,0
2203,6,1921,1,0,228.0,585.0,1436,851,585,141500,0
356,6,1998,2,1,440.0,952.0,1636,952,684,191000,2
2475,6,2004,1,1,576.0,1158.0,1158,1158,0,158000,1
2264,8,2006,2,0,870.0,1638.0,1646,1646,0,248900,0
2201,5,1937,1,1,240.0,731.0,1768,981,787,175000,1
